"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
-8.18076372,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.80082775,0.64497598,0.64500525,0.26869366,0.26870585,0.00000000,0.00000000,0.00000000,0.00000000,0.44331428,0.44333753,1.00000000,1.00000000,4326.17474373,4326.40162038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.08754939,0.11916386,0.11914556,0.04684529,0.04683809,0.26879883,0.26879883,0.39697266,0.39697266,0.07811363,0.07810219,1.55761719,1.55761719,847.02767288,846.90355292,65.77366299,65.77538765,0.00022421,0.00022421,0.00030188,0.00030189
5.26509649,0.13052751,0.13050398,0.04958219,0.04957325,0.31542969,0.31542969,0.46337891,0.46337891,0.08319322,0.08317881,1.68457031,1.68457031,960.18030291,960.01393964,71.92497770,71.92569203,0.00129995,0.00129995,0.00192457,0.00192458
5.30301984,0.55555284,0.55558181,0.20952320,0.20953413,0.36523438,0.36523438,0.53173828,0.53173828,0.35201194,0.35203279,1.83007812,1.83007812,4116.16726936,4116.41100959,78.31591613,78.31551004,0.00436906,0.00436906,0.00718055,0.00718053
5.44551120,0.56144616,0.56142982,0.20620513,0.20619912,0.57470703,0.57470703,0.82031250,0.82031250,0.34809568,0.34808800,2.60351562,2.60351562,4271.60579046,4271.51162154,101.24006119,101.24095082,0.05204171,0.05204171,0.12618676,0.12618742
5.68923274,0.05320613,0.05319542,0.01870415,0.01870038,0.78076172,0.78076172,1.09960938,1.09960938,0.03182293,0.03181675,3.68750000,3.68750000,422.92151148,422.83934650,120.50375836,120.50411505,0.16411146,0.16411146,0.51852659,0.51852766
6.60859913,0.25410565,0.25412489,0.07690152,0.07690734,0.79931641,0.79931641,1.12500000,1.12500000,0.13433282,0.13434394,3.80664062,3.80664062,2346.21669687,2346.41093067,122.24597045,122.24598599,0.17793288,0.17793288,0.57309368,0.57309373
7.19923491,0.10832408,0.10832649,0.03009322,0.03009389,0.87646484,0.87646484,1.21875000,1.21875000,0.05334864,0.05335021,4.35156250,4.35156250,1089.57150921,1089.60347770,131.49256248,131.49331550,0.24302244,0.24302244,0.84749031,0.84749383
7.34671520,0.11177511,0.11178843,0.03042860,0.03043222,0.90673828,0.90673828,1.25488281,1.25488281,0.05413034,0.05413717,4.59375000,4.59375000,1147.31512847,1147.45987812,135.57236259,135.57321085,0.27290344,0.27290344,0.97941481,0.97941931
7.36659839,0.10110099,0.10109628,0.02744849,0.02744721,0.93701172,0.93701172,1.29101562,1.29101562,0.04885144,0.04884950,4.84765625,4.84765625,1040.55923570,1040.51808667,139.73968880,139.74102968,0.30376752,0.30376752,1.12019031,1.12019828
7.40680377,0.14096670,0.14094451,0.03806411,0.03805812,0.96435547,0.96435547,1.32324219,1.32324219,0.06780742,0.06779723,5.08984375,5.08984375,1458.78657404,1458.56728675,143.41457339,143.41573646,0.33473551,0.33473551,1.26234949,1.26235715
7.42522892,0.13000106,0.12999335,0.03501604,0.03501396,1.00292969,1.00292969,1.36816406,1.36816406,0.06240398,0.06240071,5.44921875,5.44921875,1348.65585192,1348.58532857,148.41336340,148.41374852,0.38082004,0.38082004,1.47719030,1.47719320
14.83442279,0.80740600,0.80747853,0.10885573,0.10886551,1.03710938,1.03710938,1.40917969,1.40917969,0.21684673,0.21686774,5.80078125,5.80078125,16734.27941915,16735.90082873,152.88944466,152.88958787,0.42663217,0.42663217,1.69067921,1.69068042
16.78771480,0.94145853,0.94149414,0.11216041,0.11216466,1.14648438,1.14648438,1.52246094,1.52246094,0.22763776,0.22764798,7.20312500,7.20312500,22081.93712431,22082.92831721,200.27346730,200.27762458,0.60854038,0.60854038,2.89728519,2.89733367
17.00136338,0.94204661,0.94199614,0.11082013,0.11081419,1.25878906,1.25878906,1.63867188,1.63867188,0.22534260,0.22533212,9.03906250,9.03906250,22376.93158987,22375.89073351,249.38203390,249.38735979,0.85835417,0.85835417,4.64767564,4.64775827
17.65447949,0.58659784,0.58654942,0.06645315,0.06644766,1.36914062,1.36914062,1.75292969,1.75292969,0.13588617,0.13587591,11.33593750,11.33593750,14469.04183758,14467.94964808,290.80634522,290.80912289,1.18025025,1.18025025,6.79025885,6.79031368
18.41915873,0.34909811,0.34899920,0.03790598,0.03789524,1.43554688,1.43554688,1.82128906,1.82128906,0.07799921,0.07797766,12.96875000,12.96875000,8983.83313632,8981.35125239,314.70203726,314.70286876,1.41819318,1.41819318,8.32403890,8.32405760
18.85060332,0.68370477,0.68364611,0.07253930,0.07253307,1.47363281,1.47363281,1.86035156,1.86035156,0.14977367,0.14976188,14.02343750,14.02343750,18006.87110898,18005.45330085,328.66579590,328.66281636,1.57204469,1.57204469,9.30805919,9.30798724
19.24471382,0.60550695,0.60544128,0.06292709,0.06292027,1.54589844,1.54589844,1.93457031,1.93457031,0.13032203,0.13030881,16.29687500,16.29687500,16280.77156018,16279.12064314,355.00433308,354.99957769,1.91144784,1.91144784,11.36543465,11.36530440
19.44253080,2.27109201,2.27117408,0.23362103,0.23362947,1.60937500,1.60937500,1.99902344,1.99902344,0.48455382,0.48457476,18.57812500,18.57812500,61692.43583211,61695.10079384,377.23844987,377.23178658,2.26027807,2.26027807,13.38310030,13.38289780
19.45424517,0.33696068,0.33698603,0.03464135,0.03464396,1.84277344,1.84277344,2.23828125,2.23828125,0.07185602,0.07186194,30.15625000,30.15625000,9158.78792212,9159.54172266,451.66501292,451.66239781,4.08918063,4.08918063,22.39141285,22.39130233
19.73415410,0.48352929,0.48363410,0.04900431,0.04901493,1.87695312,1.87695312,2.27343750,2.27343750,0.10186121,0.10188401,32.40625000,32.40625000,13331.70488033,13334.68898405,461.69261616,461.69087420,4.45691427,4.45691427,23.94697054,23.94689367
19.90673508,0.56019675,0.56024427,0.05628213,0.05628691,1.92675781,1.92675781,2.32421875,2.32421875,0.11713765,0.11714842,35.87500000,35.87500000,15580.63002048,15582.06159076,475.91152192,475.91296715,5.03616333,5.03616333,26.31759268,26.31766049
20.97911929,0.51437581,0.51429876,0.04903693,0.04902959,1.98242188,1.98242188,2.38085938,2.38085938,0.10283888,0.10282421,40.34375000,40.34375000,15076.90432226,15074.75241433,492.00854334,492.01139610,5.77019374,5.77019374,29.08251319,29.08265566
21.44102457,0.65993319,0.65993207,0.06155799,0.06155789,2.03125000,2.03125000,2.43164062,2.43164062,0.12950432,0.12950501,44.65625000,44.65625000,19769.23665849,19769.34263105,507.09891643,507.09956252,6.49147352,6.49147352,31.71767801,31.71771203
22.17932970,1.88563642,1.88550747,0.17003547,0.17002385,2.09375000,2.09375000,2.49414062,2.49414062,0.35946274,0.35944069,50.90625000,50.90625000,58432.00203423,58428.41870562,526.23050814,526.23123144,7.55536079,7.55536079,35.37651711,35.37655783
22.43166830,0.43379470,0.43375785,0.03867699,0.03867370,2.26367188,2.26367188,2.66796875,2.66796875,0.08189763,0.08189125,72.87500000,72.87500000,13595.34432697,13594.28520962,579.09459481,579.09215816,11.34223938,11.34223938,46.65014131,46.64997989
22.44136427,0.66655186,0.66648944,0.05940386,0.05939830,2.30273438,2.30273438,2.70703125,2.70703125,0.12579408,0.12578319,79.12500000,79.12500000,20899.10049377,20897.29083913,590.71642440,590.71313923,12.45182037,12.45182037,49.53384428,49.53361889
22.87111060,0.39285490,0.39285530,0.03435381,0.03435385,2.36132812,2.36132812,2.76757812,2.76757812,0.07294554,0.07294613,89.68750000,89.68750000,12553.47087242,12553.57244828,608.14882599,608.14414713,14.32387034,14.32387034,54.09560843,54.09527084
22.90926764,0.39325136,0.39318881,0.03433120,0.03432574,2.39648438,2.39648438,2.80273438,2.80273438,0.07291489,0.07290381,96.56250000,96.56250000,12587.10422186,12585.19112584,618.38375256,618.37923327,15.53974152,15.53974152,56.88722305,56.88688756
22.94438966,0.48663428,0.48651366,0.04241859,0.04240807,2.42968750,2.42968750,2.83789062,2.83789062,0.09011112,0.09008943,103.62500000,103.62500000,15599.96426011,15596.20765317,628.47877422,628.47280551,16.82388306,16.82388306,59.75197052,59.75151503
23.57195378,1.63164300,1.63160731,0.13843935,0.13843632,2.47265625,2.47265625,2.88085938,2.88085938,0.29522405,0.29521968,113.37500000,113.37500000,53735.97296020,53735.17681057,640.76948578,640.76070020,18.54522705,18.54522705,63.35147425,63.35078185
25.74941122,0.24290902,0.24279370,0.01886715,0.01885819,2.61132812,2.61132812,3.02148438,3.02148438,0.04074008,0.04072103,152.50000000,152.50000000,8738.87108194,8734.78418073,681.41140794,681.40256217,25.68969727,25.68969727,76.71344871,76.71267592
26.62896288,0.17123395,0.17138231,0.01286073,0.01287187,2.62890625,2.62890625,3.04101562,3.04101562,0.02790135,0.02792573,158.62500000,158.62500000,6370.71999836,6376.28466665,687.79384844,687.78211369,26.85058594,26.85058594,78.82160580,78.82056610
27.77740697,0.11874411,0.11886234,0.00854969,0.00855820,2.64257812,2.64257812,3.05273438,3.05273438,0.01865804,0.01867675,163.62500000,163.62500000,4608.37870902,4612.99978293,692.40963161,692.40199348,27.73022970,27.73022970,80.22507724,80.22439524
27.93759192,0.12082567,0.12094669,0.00864968,0.00865835,2.65039062,2.65039062,3.06250000,3.06250000,0.01889135,0.01891040,166.25000000,166.25000000,4716.20382985,4720.96101383,695.72945651,695.72517589,28.22583516,28.22583516,81.17605823,81.17567382
27.93873473,0.35075433,0.35062428,0.02510882,0.02509951,2.66015625,2.66015625,3.07031250,3.07031250,0.05483924,0.05481929,169.50000000,169.50000000,13691.59895401,13686.61900932,699.11063537,699.10977777,28.82934570,28.82934570,82.26530155,82.26522400
28.11886954,0.09278455,0.09284260,0.00659945,0.00660358,2.68554688,2.68554688,3.09570312,3.09570312,0.01442648,0.01443561,179.00000000,179.00000000,3645.17110848,3647.47723767,708.83515675,708.83079814,30.60902913,30.60902913,85.32553085,85.32512967
28.12887527,0.19502276,0.19499513,0.01386637,0.01386441,2.69140625,2.69140625,3.10351562,3.10351562,0.03031356,0.03030948,181.87500000,181.87500000,7664.46872694,7663.43715072,711.40175046,711.39902841,31.11915588,31.11915588,86.12163283,86.12138133
28.60100486,0.24504528,0.24505071,0.01713543,0.01713581,2.70507812,2.70507812,3.11718750,3.11718750,0.03754662,0.03754771,187.62500000,187.62500000,9792.01396976,9792.30001846,716.76838608,716.76496481,32.17933655,32.17933655,87.80351794,87.80319913
29.01806238,0.25659171,0.25644425,0.01768497,0.01767480,2.72265625,2.72265625,3.13476562,3.13476562,0.03882839,0.03880635,194.37500000,194.37500000,10402.92407596,10397.01911707,723.56681326,723.56362180,33.45565796,33.45565796,89.97938818,89.97908730
29.58070768,0.30449135,0.30456914,0.02058716,0.02059242,2.74023438,2.74023438,3.15234375,3.15234375,0.04532023,0.04533213,202.12500000,202.12500000,12584.26674525,12587.57062420,730.72009506,730.71289431,34.89238739,34.89238739,92.20816993,92.20748384
29.62996936,0.13967353,0.13961512,0.00942785,0.00942391,2.76171875,2.76171875,3.17187500,3.17187500,0.02075908,0.02075055,211.75000000,211.75000000,5782.15448780,5779.77727517,739.28081543,739.27593261,36.66163127,36.66163127,95.00296035,95.00248861
29.63046248,0.25258975,0.25248375,0.01704933,0.01704217,2.76953125,2.76953125,3.18164062,3.18164062,0.03754080,0.03752531,216.00000000,216.00000000,10456.79371850,10452.47931406,743.18118824,743.17473168,37.46337891,37.46337891,96.24150768,96.24088055
29.99756605,0.29624789,0.29633123,0.01975146,0.01975702,2.78710938,2.78710938,3.19921875,3.19921875,0.04356438,0.04357694,224.50000000,224.50000000,12416.11377333,12419.69393893,750.18335910,750.17408721,39.05181885,39.05181885,98.67364894,98.67273793
31.09135514,0.15286102,0.15301725,0.00983302,0.00984307,2.80664062,2.80664062,3.21875000,3.21875000,0.02179480,0.02181723,234.37500000,234.37500000,6640.19460903,6647.02787046,758.41359827,758.40678733,40.93647003,40.93647003,101.45820538,101.45752789
32.13470064,0.41970078,0.41979142,0.02612134,0.02612699,2.81640625,2.81640625,3.22851562,3.22851562,0.05815919,0.05817217,239.00000000,239.00000000,18843.36345095,18847.56629588,762.77872326,762.77643050,41.81722005,41.81722005,102.83400932,102.83377995
32.14837194,0.43382541,0.43368058,0.02698895,0.02697994,2.84375000,2.84375000,3.25585938,3.25585938,0.06009440,0.06007477,253.50000000,253.50000000,19485.80553304,19479.43784087,775.03209231,775.03254721,44.53475952,44.53475952,106.91920782,106.91925412
32.37632426,0.03530949,0.03550061,0.00218119,0.00219300,2.86914062,2.86914062,3.28320312,3.28320312,0.00486138,0.00488773,269.75000000,269.75000000,1597.21484050,1605.87163775,787.50272993,787.49913465,47.58163452,47.58163452,111.08788847,111.08751718
32.69219150,0.26542280,0.26552473,0.01623769,0.01624392,2.87304688,2.87304688,3.28515625,3.28515625,0.03623793,0.03625210,270.75000000,270.75000000,12123.46205962,12128.20312224,788.51617896,788.51807760,47.81311035,47.81311035,111.57520679,111.57540345
33.54317902,0.41969277,0.41983751,0.02502403,0.02503266,2.88867188,2.88867188,3.30078125,3.30078125,0.05604160,0.05606133,280.50000000,280.50000000,19668.90139645,19675.82342106,796.16658216,796.17143997,49.62051392,49.62051392,114.04268110,114.04318848
33.79343695,0.46813693,0.46828780,0.02770579,0.02771472,2.91406250,2.91406250,3.32617188,3.32617188,0.06210989,0.06213035,297.50000000,297.50000000,22102.92037986,22110.19992828,808.42447262,808.43353793,52.83966064,52.83966064,118.36639263,118.36735384
35.31490507,0.41854036,0.41841829,0.02370333,0.02369641,2.94140625,2.94140625,3.35546875,3.35546875,0.05345391,0.05343870,316.75000000,316.75000000,20650.93779283,20645.06064422,821.98117273,821.99451651,56.58091227,56.58091227,123.41112623,123.41256586
37.16256695,0.22337311,0.22353079,0.01202140,0.01202989,2.96484375,2.96484375,3.37890625,3.37890625,0.02729568,0.02731514,333.25000000,333.25000000,11597.94346729,11606.21221782,834.44831243,834.45793532,59.66389974,59.66389974,127.44976436,127.45081413
37.23704869,0.20671591,0.20671795,0.01110270,0.01110281,2.97656250,2.97656250,3.39062500,3.39062500,0.02521642,0.02521685,342.50000000,342.50000000,10754.58250259,10754.76440451,841.36908047,841.38353801,61.35482788,61.35482788,129.73780047,129.73938808
37.49541511,0.20863445,0.20872647,0.01112853,0.01113344,2.98828125,2.98828125,3.40234375,3.40234375,0.02529843,0.02530976,352.00000000,352.00000000,10929.70869474,10934.60660861,847.73610993,847.75056617,63.19986979,63.19986979,132.11603211,132.11763144
38.09888975,0.16612564,0.16610862,0.00872076,0.00871987,3.00000000,3.00000000,3.41210938,3.41210938,0.01986709,0.01986519,360.25000000,360.25000000,8842.87271494,8842.02914270,854.15819423,854.17540883,64.86434937,64.86434937,134.39997759,134.40189559
38.22764378,0.22225867,0.22213460,0.01162816,0.01162167,3.00781250,3.00781250,3.42187500,3.42187500,0.02650245,0.02648784,367.25000000,367.25000000,11870.81781760,11864.27465219,859.31897075,859.33559114,66.19944255,66.19944255,136.03160142,136.03346007
38.33705527,0.14526774,0.14521543,0.00757845,0.00757572,3.01953125,3.01953125,3.43359375,3.43359375,0.01727907,0.01727297,377.50000000,377.50000000,7780.94440046,7778.19771254,866.19854035,866.21125186,68.16228231,68.16228231,138.60279362,138.60422589
39.76562397,0.91040713,0.91044048,0.04578865,0.04579033,3.02734375,3.02734375,3.44140625,3.44140625,0.10490745,0.10491203,383.50000000,383.50000000,50581.05066184,50583.26026881,870.67838822,870.68945702,69.32367961,69.32367961,140.00716762,140.00841826
40.12894625,0.85147923,0.85148363,0.04243716,0.04243738,3.07226562,3.07226562,3.48632812,3.48632812,0.09734583,0.09734702,426.00000000,426.00000000,47739.31750229,47739.90144977,899.25630738,899.26825299,77.43957520,77.43957520,150.07510314,150.07648606
40.27647469,0.44309337,0.44288514,0.02200259,0.02199225,3.11523438,3.11523438,3.52929688,3.52929688,0.05049583,0.05047246,469.75000000,469.75000000,24933.95057774,24922.40876776,925.41948535,925.43140874,85.91822306,85.91822306,160.01325880,160.01467071
41.59746827,0.19397658,0.19400422,0.00932636,0.00932769,3.13671875,3.13671875,3.55273438,3.55273438,0.02149525,0.02149846,494.25000000,494.25000000,11273.54732050,11275.23338128,938.79453261,938.80013903,90.65071106,90.65071106,165.30850636,165.30917773
41.63465822,0.19208086,0.19210269,0.00922697,0.00922802,3.14648438,3.14648438,3.56054688,3.56054688,0.02126866,0.02127123,506.00000000,506.00000000,11173.35190469,11174.70097852,944.77972129,944.78618450,92.80578613,92.80578613,167.57183433,167.57261123
42.56732281,0.24672613,0.24677230,0.01159228,0.01159445,3.15625000,3.15625000,3.57031250,3.57031250,0.02679872,0.02680392,516.00000000,516.00000000,14673.57299003,14676.42255691,950.67453615,950.68166881,94.84985352,94.84985352,170.01249506,170.01335755
42.83106096,0.19978804,0.19979146,0.00932912,0.00932928,3.16796875,3.16796875,3.58203125,3.58203125,0.02158428,0.02158481,530.50000000,530.50000000,11955.63650128,11955.92552045,958.36091670,958.36947884,97.67710368,97.67710368,173.05838788,173.05942870
44.32629452,0.19635055,0.19634842,0.00885933,0.00885923,3.17773438,3.17773438,3.59179688,3.59179688,0.02058955,0.02058947,541.00000000,541.00000000,12160.12227438,12160.07610042,964.57829292,964.58694968,99.72045898,99.72045898,175.41450121,175.41555859
45.59348288,0.16512982,0.16493452,0.00724357,0.00723500,3.18554688,3.18554688,3.59960938,3.59960938,0.01689638,0.01687651,553.50000000,553.50000000,10518.95647747,10506.59035533,970.86116692,970.86974388,102.13714600,102.13714600,177.86085258,177.86190449
45.91565886,0.12973068,0.12993502,0.00565083,0.00565973,3.19335938,3.19335938,3.60742188,3.60742188,0.01319320,0.01321407,562.50000000,562.50000000,8322.38730532,8335.55469718,976.26346952,976.26566566,103.85513306,103.85513306,179.78648052,179.78675058
46.05886892,0.06936912,0.06914931,0.00301219,0.00300265,3.19921875,3.19921875,3.61328125,3.61328125,0.00703553,0.00701329,569.00000000,569.00000000,4463.99648171,4449.88255018,980.51657264,980.52547373,105.17100016,105.17100016,181.45245730,181.45355633
47.23372366,0.20993191,0.20992069,0.00888907,0.00888859,3.20117188,3.20117188,3.61718750,3.61718750,0.02082996,0.02082899,573.50000000,573.50000000,13853.99534235,13853.35277883,982.79028572,982.79198572,106.00275675,106.00275675,182.24640672,182.24661676
48.09319392,0.34372857,0.34367576,0.01429427,0.01429207,3.21093750,3.21093750,3.62500000,3.62500000,0.03357426,0.03356934,587.00000000,587.00000000,23096.36547898,23092.97990918,989.81348801,989.81485136,108.73687744,108.73687744,185.23752940,185.23769883
48.40745343,0.33152548,0.33143591,0.01369729,0.01369359,3.22460938,3.22460938,3.64062500,3.64062500,0.03219914,0.03219067,605.50000000,605.50000000,22421.95843980,22416.05878708,1001.41255561,1001.41221277,112.34863281,112.34863281,189.30792655,189.30788366
48.82597972,0.25658655,0.25664501,0.01051025,0.01051264,3.23828125,3.23828125,3.65429688,3.65429688,0.02473458,0.02474040,625.00000000,625.00000000,17503.67489468,17507.78683769,1012.54583351,1012.54258116,116.22111003,116.22111003,193.50056934,193.50015987
51.38489396,0.16195176,0.16183191,0.00630348,0.00629881,3.24804688,3.24804688,3.66406250,3.66406250,0.01493213,0.01492118,642.00000000,642.00000000,11626.94277038,11618.41997852,1021.15265257,1021.15144102,119.38232422,119.38232422,196.66349085,196.66333778
52.90197525,0.11205576,0.11198492,0.00423635,0.00423368,3.25585938,3.25585938,3.66992188,3.66992188,0.01007276,0.01006647,652.50000000,652.50000000,8282.29065351,8277.11316707,1026.82991904,1026.82456412,121.46759033,121.46759033,198.95238662,198.95170750
53.32916766,0.13157266,0.13146340,0.00493436,0.00493026,3.25976562,3.25976562,3.67382812,3.67382812,0.01174444,0.01173477,657.50000000,657.50000000,9803.35787472,9795.28594037,1030.85497199,1030.84712671,122.59902954,122.59902954,200.38395908,200.38296108
55.85637232,0.15037779,0.15036413,0.00538445,0.00538396,3.26367188,3.26367188,3.67968750,3.67968750,0.01289132,0.01289024,665.00000000,665.00000000,11735.47872307,11734.49608365,1035.59902045,1035.58731384,123.79455566,123.79455566,201.67082921,201.66933920
56.89755869,0.16028937,0.16047583,0.00563431,0.00564087,3.26953125,3.26953125,3.68554688,3.68554688,0.01352111,0.01353694,673.00000000,673.00000000,12742.15083668,12757.06392240,1041.24963860,1041.23752366,125.48919678,125.48919678,203.62249229,203.62094585
57.25244922,0.09991707,0.09971919,0.00349040,0.00348349,3.27539062,3.27539062,3.69140625,3.69140625,0.00838278,0.00836624,683.50000000,683.50000000,7992.41701276,7976.64495126,1047.35044790,1047.34552302,127.72516886,127.72516886,206.17210053,206.17146923
68.78834205,0.21283865,0.21288572,0.00618822,0.00618959,3.27929688,3.27929688,3.69335938,3.69335938,0.01520656,0.01521003,689.00000000,689.00000000,20455.48296944,20460.15054699,1051.15906395,1051.14665463,128.61277262,128.61277262,207.07755976,207.07596860
68.81398349,0.20519142,0.20546730,0.00596365,0.00597167,3.28515625,3.28515625,3.70117188,3.70117188,0.01465540,0.01467521,700.00000000,700.00000000,19727.87407569,19754.53808711,1060.84440928,1060.83431321,130.95092773,130.95092773,210.15159893,210.15029894
69.25234248,0.20823155,0.20821024,0.00601370,0.00601309,3.29101562,3.29101562,3.70703125,3.70703125,0.01478998,0.01478857,711.00000000,711.00000000,20147.69573636,20145.77664936,1070.10220763,1070.10465758,133.08105469,133.08105469,212.70863792,212.70895419
